Name,Manufacturer,Calories,Carbo
All-Bran,K,70,7
Apple Cinnamon Cheerios,G,110,10.5
Bran Flakes,P,90,13
Cheerios,G,110,17
Cinnamon Toast Crunch,G,120,13
Cocoa Puffs,G,110,12
Corn Flakes,K,100,21
Crispy Wheat & Raisins,G,100,11
Frosted Flakes,K,110,14
Frosted Mini-Wheats,K,100,14
Fruity Pebbles,P,110,13
Golden Crisp,P,100,11
Grape-Nuts,P,110,17
Honey Nut Cheerios,G,110,11.5
Honey-comb,P,110,14
Just Right Crunchy  Nuggets,K,110,17
Lucky Charms,G,110,12
Nut&Honey Crunch,K,120,15
Nutri-Grain Almond-Raisin,K,140,21
Raisin Bran,K,120,14
Rice Krispies,K,110,22
Special K,K,110,16
Wheaties,G,100,17